"State","MSN","2021"
"OK","ESTCB",220160.00
"OK","ESTCD",25.17
"OK","ESTCP",64525.00
"OK","ESTCV",5411.80
"OR","ESACB",77.00
"OR","ESACD",28.45
"OR","ESACP",23.00
"OR","ESACV",2.20
"OR","ESCCB",56328.00
"OR","ESCCD",26.69
"OR","ESCCP",16509.00
"OR","ESCCV",1503.10
"OR","ESICB",59091.00
"OR","ESICD",17.51
"OR","ESICP",17319.00
"OR","ESICV",1034.70
"OR","ESRCB",69214.00
"OR","ESRCD",33.34
"OR","ESRCP",20285.00
"OR","ESRCV",2307.40
"OR","ESTCB",184709.00
"OR","ESTCD",26.24
"OR","ESTCP",54135.00
"OR","ESTCV",4847.40
"PA","ESACB",1389.00
"PA","ESACD",20.06
"PA","ESACP",407.00
"PA","ESACV",27.90
"PA","ESCCB",126203.00
"PA","ESCCD",26.11
"PA","ESCCP",36988.00
"PA","ESCCV",3295.20
"PA","ESICB",170599.00
"PA","ESICD",19.16
"PA","ESICP",50000.00
"PA","ESICV",3229.70
"PA","ESRCB",190885.00
"PA","ESRCD",40.33
"PA","ESRCP",55945.00
"PA","ESRCV",7697.60
"PA","ESTCB",489077.00
"PA","ESTCD",29.26
"PA","ESTCP",143340.00
"PA","ESTCV",14250.40
"RI","ESACB",62.00
"RI","ESACD",57.88
"RI","ESACP",18.00
"RI","ESACV",3.60
"RI","ESCCB",12299.00
"RI","ESCCD",45.45
"RI","ESCCP",3605.00
"RI","ESCCV",558.90
"RI","ESICB",2197.00
"RI","ESICD",47.06
"RI","ESICP",644.00
"RI","ESICV",103.40
"RI","ESRCB",10685.00
"RI","ESRCD",65.36
"RI","ESRCP",3132.00
"RI","ESRCV",698.40
"RI","ESTCB",25242.00
"RI","ESTCD",54.05
"RI","ESTCP",7398.00
"RI","ESTCV",1364.30
"SC","ESACB",0.00
"SC","ESACD",0.00
"SC","ESACP",0.00
"SC","ESACV",0.00
"SC","ESCCB",72042.00
"SC","ESCCD",31.28
"SC","ESCCP",21114.00
"SC","ESCCV",2253.80
"SC","ESICB",93120.00
"SC","ESICD",17.79
"SC","ESICP",27292.00
"SC","ESICV",1656.20
"SC","ESRCB",107088.00
"SC","ESRCD",37.70
"SC","ESRCP",31386.00
"SC","ESRCV",4037.50
"SC","ESTCB",272251.00
"SC","ESTCD",29.19
"SC","ESTCP",79792.00
"SC","ESTCV",7947.40
"SD","ESACB",0.00
"SD","ESACD",0.00
"SD","ESACP",0.00
"SD","ESACV",0.00
"SD","ESCCB",16349.00
"SD","ESCCD",29.75
"SD","ESCCP",4792.00
"SD","ESCCV",486.40
"SD","ESICB",10938.00
"SD","ESICD",23.51
"SD","ESICP",3206.00
"SD","ESICV",257.20
"SD","ESRCB",17210.00
"SD","ESRCD",35.82
"SD","ESRCP",5044.00
"SD","ESRCV",616.50
"SD","ESTCB",44497.00
"SD","ESTCD",30.57
"SD","ESTCP",13041.00
"SD","ESTCV",1360.10
"TN","ESACB",0.00
"TN","ESACD",0.00
"TN","ESACP",0.00
"TN","ESACV",0.00
"TN","ESCCB",118954.00
"TN","ESCCD",31.86
"TN","ESCCP",34863.00
"TN","ESCCV",3789.80
"TN","ESICB",74782.00
"TN","ESICD",16.14
"TN","ESICP",21917.00
"TN","ESICV",1176.70
"TN","ESRCB",146172.00
"TN","ESRCD",32.44
"TN","ESRCP",42840.00
"TN","ESRCV",4741.60
"TN","ESTCB",339907.00
"TN","ESTCD",28.72
"TN","ESTCP",99621.00
"TN","ESTCV",9708.10
"TX","ESACB",614.00
"TX","ESACD",19.32
"TX","ESACP",180.00
"TX","ESACV",11.90
"TX","ESCCB",504441.00
"TX","ESCCD",25.57
"TX","ESCCP",147843.00
"TX","ESCCV",12897.90
"TX","ESICB",452191.00
"TX","ESICD",17.95
"TX","ESICP",132530.00
"TX","ESICV",7450.70
"TX","ESRCB",529116.00
"TX","ESRCD",35.48
"TX","ESRCP",155075.00
"TX","ESRCV",18772.30
"TX","ESTCB",1486362.00
"TX","ESTCD",27.00
"TX","ESTCP",435628.00
"TX","ESTCV",39132.80
